key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
H14,H I,3723.004,10.1988358,13.52905552,13032.0,0.0013269,8-392,2-14,,,E1,3721.9448372829743,permitted,0.0106152,0,1.0,2-14,NIST,--
[OII]-3727,[O II],3727.092,0.0,3.326567,0.000159,3.31e-13,4-4,2s22p3-2s22p3,4S*-2D*,3/2-3/2,M1,3726.032278110222,forbidden,1.324e-12,2,1.0,4S*-2D*,NIST,--
[OII]-3730,[O II],3729.875,0.0,3.324085,2.86e-05,8.95e-14,4-6,2s22p3-2s22p3,4S*-2D*,3/2-5/2,E2,3728.814557058235,forbidden,3.58e-13,2,1.0,4S*-2D*,NIST,--
H13,H I,3735.436,10.1988358,13.51797128,18927.0,0.0016728,8-338,2-13,,,E1,3734.3746159172865,permitted,0.0133824,0,1.0,2-13,NIST,--
H12,H I,3751.224,10.1988358,13.50400193,28337.0,0.0021521,8-288,2-12,,,E1,3750.158423367172,permitted,0.0172168,0,1.0,2-12,NIST,--
[FeVII]-3760,[Fe VII],3760.24,0.288819,3.58606,0.45,9.5e-10,9-9,3p63d2-3p63d2,3F-1G,4-4,M1,3759.171685377579,forbidden,8.55e-09,0,1.0,3F-1G,NIST,--
H11,H I,3771.708,10.1988358,13.48605194,43972.0,0.0028368,8-242,2-11,,,E1,3770.6368103924183,permitted,0.0226944,0,1.0,2-11,NIST,--
H10,H I,3798.983,10.1988358,13.46245155,71225.0,0.0038526,8-200,2-10,,,E1,3797.9043305725017,permitted,0.0308208,0,1.0,2-10,NIST,--
HeI-3821,He I,3820.687,20.96408688908,24.209163110443,6435300.0,0.019717,5-7,1s2p-1s6d,3P*-3D,2-3,E1,3819.6027798756336,permitted,0.0985849999999999,2,1.0,3P*,NIST,--
HeI-3835,He I,3834.636,21.2180227112,24.4512941044573,964700.0,0.0035444,3-5,1s2p-1s10d,1P*-1D,1-2,E1,3833.548663839285,permitted,0.0106332,1,1.0,1P*,NIST,--
H9,H I,3836.479,10.1988358,13.43055424,121560.0,0.0054317,8-162,2-9,,,E1,3835.3907875975706,permitted,0.0434536,0,1.0,2-9,NIST,--
[FeV]-3840,[Fe V],3840.36,0.09957,3.32802,0.49,1.1e-09,7-7,3d4-3d4,5D-3F2,3-3,M1,3839.2708784980423,forbidden,7.7e-09,0,1.0,5D-3F2,NIST,--
[NeIII]-3870,[Ne III],3869.86,0.0,3.203841,0.174,3.91e-10,5-5,2s22p4-2s22p4,3P-1D,2-2,M1,3868.7632045705686,forbidden,1.955e-09,1,1.0,3P-1D,NIST,--
HeI-3873,He I,3872.884,21.2180227112,24.41936311728,1338600.0,0.0050168,3-5,1s2p-1s9d,1P*-1D,1-2,E1,3871.7863569662527,permitted,0.0150504,1,1.0,1P*,NIST,--
[FeII]-3875,[Fe II],3875.169,0.0,3.19945278,0.0138,3.1e-11,10-10,3d6(5D)4s-3d6(3G)4s,a6D-a4G,9/2-9/2,M1,3874.070702846228,forbidden,3.1e-10,0,1.0,a6D-a4G,NIST,--
HeI-3890,He I,3889.751,19.819614525,23.00707314571,9474600.0,0.035819,3-5,1s2s-1s3p,3S-3P*,1-2,E1,3888.6488657540367,permitted,0.107457,4,1.0,3S,NIST,--
H8,H I,3890.158,10.1988358,13.38596103,221480.0,0.0080397,8-128,2-8,,,E1,3889.055620608334,permitted,0.0643176,0,1.0,2-8,NIST,--
[FeV]-3892,[Fe V],3892.4,4.54154,7.72683,0.048,7.8e-11,7-5,3d4-3d4,3D-3F1,3-2,M1+E2,3891.297336695944,forbidden,5.46e-10,1,1.0,3D-3F1,NIST,--
[FeV]-3912,[Fe V],3911.92,4.55744,7.72683,0.31,7.1e-10,5-5,3d4-3d4,3D-3F1,2-2,M1+E2,3910.8122519630538,forbidden,3.55e-09,1,1.0,3D-3F1,NIST,--
HeI-3928,He I,3927.656,21.2180227112,24.374719544511,1937100.0,0.0074666,3-5,1s2p-1s8d,1P*-1D,1-2,E1,3926.5443364401217,permitted,0.0223998,1,1.0,1P*,NIST,--
