ion,wave_vac,terms,line_ratio,configuration,multiplet
Fe II,1460.6052081692092,b4P,0.06266266266266267,,19
Fe II,1465.2961932332298,b4F,0.08051282051282051,,17
Fe II,1465.496148419058,b4F,0.09743589743589744,,17
Fe II,1467.469698857419,b4F,0.028102564102564103,,17
Fe II,1468.0055744592864,b4F,0.0841025641025641,,17
Fe II,1474.8178984919455,b4F,0.04235897435897436,,17
Fe II,1475.1088227307819,b2G,1.0,,13
Fe II,1476.293510398358,b4F,0.06820512820512821,,17
Fe II,1491.1129957764817,b2F,0.5835010060362174,,12
Fe II,1495.282479121178,b2F,0.5875251509054326,,12
Fe II,1498.232325440115,b2F,1.0,,12
Fe II,1508.7225708881197,a4G,0.02459227467811159,,7
Fe II,1535.3180734183752,a4G,0.1111587982832618,,7
Fe II,1536.8374417095908,a4G,0.12703862660944207,,7
Fe II,1538.5814670320465,a4G,0.03317596566523605,,7
Fe II,1539.1078483946899,a4G,0.0759656652360515,,7
Fe II,1539.5203559376432,a4G,0.17639484978540773,,7
Fe II,1539.935852967023,a4G,0.13390557939914163,,7
Fe II,1540.8427302748942,a4G,0.054935622317596564,,7
Fe II,1543.7039483850112,a4G,0.05021459227467811,,7
Fe II,1547.5282461851177,a4G,0.06094420600858369,,7
Fe II,1550.9573797859555,a4G,0.023047210300429184,,7
Fe II,1574.8724527686154,b4D,0.08493589743589744,,16
Fe II,1578.2662367083058,b4D,0.1,,16
Fe II,1578.838271443546,a2D,1.0,,0
Fe II,1614.982908215038,b4D,0.10256410256410256,,16
Fe II,1634.3338279505797,b4D,0.08477564102564103,,16
Fe II,1640.2140327353559,b4D,0.11987179487179488,,16
Fe II,1640.3196329638906,b4D,0.1794871794871795,,16
Fe II,1640.9841713174287,b4D,0.12467948717948718,,16
Fe II,1642.4809487000653,b4D,0.1141025641025641,,16
Fe II,1642.8876017389148,b4D,0.09038461538461538,,16
Fe II,1671.759987119595,b4D,0.13317307692307692,,16
Fe II,1671.9068429421582,b4D,0.09711538461538462,,16
Fe II,1672.3054552086764,b4D,0.22275641025641027,,16
Fe II,1675.5195115846823,b4D,0.1407051282051282,,16
Fe II,1676.1439751963799,b4D,0.22275641025641027,,16
Fe II,1676.8024213773022,b4D,0.2948717948717949,,16
Fe II,1678.8537699681217,b4D,0.21153846153846154,,16
Fe II,1680.3466347544527,b4D,0.11442307692307692,,16
Fe II,1680.9441952424602,b4D,0.11698717948717949,,16
Fe II,1682.134344186314,b4D,0.1407051282051282,,16
Fe II,1683.6363144746383,b4D,0.4375,,16
Fe II,1684.3508412497615,b4D,0.16346153846153846,,16
Fe II,1688.3773604503185,b4D,0.20192307692307693,,16
Fe II,1691.0928507008548,b4D,0.1971153846153846,,16
