key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeII]-3823,Fe II,3823.012,2.341662,5.584765,16950.0,7.429678211435037e-05,2-4,d7-(5D)4p,a2P-z4D,1/2-3/2,E1,3821.927,semi-forbidden,0.00014859356422870074,112,0.006871523543150125,a2P,K88,--
FeII-3824,Fe II,3824.115,8.922487,12.164654,125000.0,0.0001827463660238642,6-4,(3D)4p-(3P)5s,4P-4P,5/2-3/2,E1,3823.03,permitted,0.0010964781961431851,20,0.0010083669294212992,4P,K88,--
FeII]-3825,Fe II,3825.071,9.111873,12.35323,3067.0,6.728372281453602e-06,8-8,d54s2-(4G)sp,4F-2G,7/2-7/2,E1,3823.986,semi-forbidden,5.3826978251628814e-05,104,8.811576724032382e-05,4F,K88,--
FeII-3826,Fe II,3826.014,2.582663,5.823221,29540.0,6.484085749904675e-05,6-6,(3P)4s-(5D)4p,b4P-z4P,5/2-5/2,E1,3824.929,permitted,0.0003890451449942805,70,0.0005685942322710771,b4P,FMW,--
FeII]-3828,Fe II,3827.986,1.964486,5.203375,0.157,4.139996748197313e-10,10-12,d7-(5D)4p,a2G-z6F,9/2-11/2,E1,3826.9,semi-forbidden,4.139996748197313e-09,110,1.239211342755181e-07,a2G,K88,--
FeII-3828,Fe II,3828.169,4.731757,7.970491,130300.0,0.0003818112754612954,6-8,(1D)4s-(3F)4p,c2D-z2F,5/2-7/2,E1,3827.083,permitted,0.0022908676527677724,4,0.0037477464274034526,c2D,FMW,--
FeII]-3829,Fe II,3828.758,4.479101,7.717337,165600.0,0.00036386477014549136,4-4,(3D)4s-(3F)4p,b2D-y4F,3/2-3/2,E1,3827.672,semi-forbidden,0.0014554590805819655,26,0.0016035085976809841,b2D,K88,--
FeII]-3830,Fe II,3830.47,7.493733,10.730521,2195.0,7.243358969253303e-06,4-6,d54s2-(1F)4p,c4D-u2F,3/2-5/2,E1,3829.383,semi-forbidden,2.8973435877013213e-05,107,0.00011205809678482079,c4D,K88,--
FeII-3831,Fe II,3830.986,7.493733,10.730085,51340.0,0.00011296398609373054,4-4,d54s2-(3P)4p,c4D-v4D,3/2-3/2,E1,3829.899,permitted,0.00045185594437492215,107,0.0011657782621896067,c4D,K88,--
FeII]-3831,Fe II,3831.093,7.494259,10.730521,17350.0,3.818112754612954e-05,6-6,d54s2-(1F)4p,c4D-u2F,5/2-5/2,E1,3830.006,semi-forbidden,0.00022908676527677723,107,0.0005903914984241671,c4D,K88,--
FeII-3832,Fe II,3831.609,7.494259,10.730085,9469.0,1.3894686410327247e-05,6-4,d54s2-(3P)4p,c4D-v4D,5/2-3/2,E1,3830.522,permitted,8.336811846196348e-05,107,0.00014332199159988816,c4D,K88,--
FeII-3832,Fe II,3832.39,8.970508,12.205674,36070.0,9.929102934053516e-05,8-10,(3D)4p-(3H)5s,w4F-e4H,7/2-9/2,E1,3831.303,permitted,0.0007943282347242813,23,0.004284568979272039,w4F,K88,--
FeII]-3834,Fe II,3834.1,2.64186,5.875584,4974.0,1.0963267444374652e-05,4-4,d7-(5D)4p,a2D2-z4P,3/2-3/2,E1,3833.013,semi-forbidden,4.385306977749861e-05,109,0.0006887504783524054,a2D2,K88,--
FeII-3836,Fe II,3835.603,8.932197,12.164654,61150.0,0.00013487765562878197,4-4,(3D)4p-(3P)5s,4P-4P,3/2-3/2,E1,3834.515,permitted,0.0005395106225151279,20,0.0007375674396956805,4P,K88,--
FeII-3836,Fe II,3835.898,4.494789,7.726997,52640.0,0.00015482773112998938,6-8,(3D)4s-(3H)4p,b2D-z2G,5/2-7/2,E1,3834.81,permitted,0.0009289663867799362,26,0.001326923173381021,b2D,K88,--
