key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
[FeII]-4178,[Fe II],4178.379,0.23217279,3.19945278,0.289,7.6e-10,10-10,3d7-3d6(3G)4s,a4F-a4G,9/2-9/2,E2,NIST,,4177.201384263817,$[$Fe II$]$,"$[$Fe II$]\,\lambda4178$",forbidden,7.6e-09,48,0.050214781119669115
[FeII]-4180,[Fe II],4180.142,0.30129858,3.26732671,0.0157,5.13e-11,8-10,3d7-3d6(3H)4s,a4F-b2H,7/2-9/2,E2,NIST,,4178.964491696422,$[$Fe II$]$,"$[$Fe II$]\,\lambda4180$",forbidden,4.104e-10,51,0.05126340552875922
[FeII]-4199,[Fe II],4198.991,0.38651921,3.33923354,0.0107,1.4e-11,4-2,3d7-3d6(3P2)4s,a4F-b2P,3/2-1/2,E2,NIST,,4197.807876855585,$[$Fe II$]$,"$[$Fe II$]\,\lambda4199$",forbidden,5.6e-11,52,0.2238672906072988
[FeII]-4210,[Fe II],4210.025,1.67061856,4.6155941,0.0105,9.3e-12,6-2,3d7-3d6(1S2)4s,a4P-a2S,5/2-1/2,E2,NIST,,4208.838981166628,$[$Fe II$]$,"$[$Fe II$]\,\lambda4210$",forbidden,5.58e-11,36,0.1815357154985308
[FeII]-4212,[Fe II],4212.292,0.30129858,3.24468891,0.059,2.36e-10,8-12,3d7-3d6(3H)4s,a4F-b2H,7/2-11/2,E2,NIST,,4211.1057860411065,$[$Fe II$]$,"$[$Fe II$]\,\lambda4212$",forbidden,1.888e-09,51,0.28392915128258217
[FeII]-4233,[Fe II],4232.755,0.30129858,3.23045937,0.0207,4.17e-11,8-6,3d7-3d6(3G)4s,a4F-a4G,7/2-5/2,E2,NIST,,4231.5632138734645,$[$Fe II$]$,"$[$Fe II$]\,\lambda4233$",forbidden,3.336e-10,48,0.0015340261030716107
[FeII]-4245,[Fe II],4245.169,0.23217279,3.15276806,1.03,3.35e-09,10-12,3d7-3d6(3G)4s,a4F-a4G,9/2-11/2,E2,NIST,,4243.973823700372,$[$Fe II$]$,"$[$Fe II$]\,\lambda4245$",forbidden,3.3499999999999996e-08,48,0.2673687440666465
[FeII]-4246,[Fe II],4245.55,1.6952613,4.6155941,0.032,4.3e-11,4-2,3d7-3d6(1S2)4s,a4P-a2S,3/2-1/2,M1,NIST,,4244.3552534884075,$[$Fe II$]$,"$[$Fe II$]\,\lambda4246$",forbidden,1.72e-10,36,0.8184642845014692
[FeII]-4246,[Fe II],4246.013,0.30129858,3.22131344,0.246,6.65e-10,8-8,3d7-3d6(3G)4s,a4F-a4G,7/2-7/2,E2,NIST,,4244.817412065742,$[$Fe II$]$,"$[$Fe II$]\,\lambda4246$",forbidden,5.32e-09,48,0.0326581709564853
[FeII]-4253,[Fe II],4252.643,0.35186476,3.26732671,0.013,5.9e-11,6-10,3d7-3d6(3H)4s,a4F-b2H,5/2-9/2,E2,NIST,,4251.446390311092,$[$Fe II$]$,"$[$Fe II$]\,\lambda4253$",forbidden,3.54e-10,51,0.055993604709043666
[FeII]-4268,[Fe II],4267.548,0.9863338,3.89161339,0.0236,4.83e-11,8-6,3d6(5D)4s-3d6(3D)4s,a4D-b4D,7/2-5/2,M1,NIST,,4266.347074316726,$[$Fe II$]$,"$[$Fe II$]\,\lambda4268$",forbidden,3.864e-10,16,0.20950916534232997
