key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeI]-3706,Fe I,3705.847,3.694597,7.040234,114400.0,0.0001831291546139454,9-7,4s2-1Gsp3P,b1G-u3F,4-3,E1,3704.793,semi-forbidden,0.0016481623915255085,95,0.006313228185153171,b1G,K94,--
TiI]-3706,Ti I,3706.248,1.980726,5.326,21250.0,3.12537374849936e-05,7-5,(3F)sp-d4,z5G-3F1,3-2,E1,3705.194,semi-forbidden,0.00021877616239495518,47,2.587103525640683e-05,z5G,K,--
FeI-3706,Fe I,3706.314,3.396509,6.741724,682800.0,0.0010043890284054762,7-5,5Dsp3P-(4F)4d,z5F-f5G,3-2,E1,3705.26,permitted,0.007030723198838334,108,0.0012263425481842441,z5F,K94,--
FeII]-3706,Fe II,3706.438,8.970508,12.315611,28920.0,7.44577679411263e-05,8-10,(3D)4p-(3H)5s,w4F-e2H,7/2-9/2,E1,3705.384,semi-forbidden,0.0005956621435290103,23,0.021833168982743605,w4F,K88,--
TiI-3707,Ti I,3706.523,2.239326,5.584354,45000000.0,0.030894327445978313,3-1,(2P)4s,b3P-t3P,1-0,E1,3705.469,permitted,0.09268298233793494,34,0.011281690936055374,b3P,K,--
FeI]-3707,Fe I,3706.603,3.23672,6.581674,122700.0,0.00021382409751994526,13-11,(2H)4s-(4F)5p,b3H-5F,6-5,E1,3705.549,semi-forbidden,0.0027797132677592883,16,0.0006116639524615941,b3H,K94,--
FeI-3707,Fe I,3706.62,0.051569,3.396509,3214000.0,0.0066206702819469705,7-7,4s2-5Dsp3P,a5D-z5F,3-3,E1,3705.566,permitted,0.046344691973628796,93,0.0891023441928746,a5D,FMW,--
TiI]-3707,Ti I,3706.714,2.505652,5.850506,68580.0,0.00014126351085259247,5-5,2D2)4s-(2F)4p,b1D-p3F,2-2,E1,3705.66,semi-forbidden,0.0007063175542629623,78,0.00010626010186510395,b1D,K,--
FeI-3707,Fe I,3706.752,3.267112,6.611932,170200.0,0.00028681860212496614,11-9,(2H)4s-(4F)5p,b3H-3F,5-4,E1,3705.698,permitted,0.0031550046233746274,16,0.0006256944223419046,b3H,K94,--
TiII-3707,Ti II,3707.271,1.565763,4.910115,31190000.0,0.0642598945692216,4-4,d3-(1D)4p,b2D-y2D,3/2-3/2,E1,3706.216,permitted,0.2570395782768864,56,0.32858782401062314,b2D,MFW,--
