Title: Predicted Fe II Emission-Line Strengths from Active Galactic Nuclei 
Authors: Sigut T.A.A., Pradhan A.K. 2003
Table: Fe II fluxes for model A with Ly{alpha} and Ly{beta} pumping
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   0.1nm   Wave   Wavelength in Angstroms
  11- 24 A14    ---     ULev   Upper level
  26- 39 A14    ---     LLev   Lower level
  41- 46 F6.3   eV      El     Energy of the LLev 
  48- 52 I5     mW/m2   Flux   Predicted flux in units of erg/cm^2^/s
--------------------------------------------------------------------------------
 1671.255 u^4^D^o^_1/2_  b^4^D^e^_3/2_   3.887   606 
 1671.654 v^4^F^o^_3/2_  b^4^D^e^_5/2_   3.890  1390 
 1674.871 v^4^F^o^_5/2_  b^4^D^e^_3/2_   3.887   878 
 1675.496 u^4^D^o^_3/2_  b^4^D^e^_3/2_   3.887  1390 
 1676.155 u^4^D^o^_3/2_  b^4^D^e^_5/2_   3.890  1840 
 1678.208 v^4^F^o^_5/2_  b^4^D^e^_7/2_   3.902  1320 
 1679.702 u^4^P^o^_3/2_  b^4^D^e^_3/2_   3.887   714 
 1680.300 v^4^P^o^_5/2_  b^4^D^e^_5/2_   3.890   730 
 1681.491 u^4^P^o^_1/2_  b^4^D^e^_1/2_   3.888   878 
 1682.994 v^4^P^o^_5/2_  b^4^D^e^_7/2_   3.902  2730 
 1683.709 v^4^F^o^_7/2_  b^4^D^e^_5/2_   3.890  1020 
 1687.738 u^4^D^o^_5/2_  b^4^D^e^_5/2_   3.890  1260 
 1690.455 u^4^D^o^_5/2_  b^4^D^e^_7/2_   3.902  1230 
 1697.370 u^4^D^o^_7/2_  b^4^D^e^_7/2_   3.902   506 
 1697.696 v^4^F^o^_9/2_  b^4^D^e^_7/2_   3.902   657 
 1720.274 q^4^G^o^_9/2_  b^4^G^e^_9/2_   6.726   570 
 1721.737 v^2^D^o^_5/2_  b^2^P^e^_3/2_   3.196   503 
 1723.684 n^4^F^o^_3/2_  b^4^G^e^_5/2_   6.727  1200 
 1725.388 n^4^F^o^_7/2_  b^4^G^e^_9/2_   6.726  1600 
 1735.681 n^4^F^o^_9/2_  b^4^G^e^_11/2_  6.721  1230 
 1739.541 u^4^G^o^_9/2_  c^4^F^e^_7/2_   6.220   504 
 1779.499 m^4^D^o^_7/2_  b^4^G^e^_9/2_   6.726   503 
 1784.891 n^4^F^o^_5/2_  b^4^G^e^_7/2_   6.727  1520 
 1785.272 X^6^P^o^_7/2_  a^6^S^e^_5/2_   2.890  2000 
 1785.485 o^4^F^o^_5/2_  b^4^G^e^_7/2_   6.727  1250 
 1786.753 X^6^P^o^_5/2_  a^6^S^e^_5/2_   2.890  1450 
 1787.815 o^4^F^o^_9/2_  b^4^G^e^_11/2_  6.721  1140 
 1787.997 X^6^P^o^_3/2_  a^6^S^e^_5/2_   2.890  1230 
 1789.844 o^4^F^o^_7/2_  b^4^G^e^_9/2_   6.726  1400 
 1793.995 s^4^G^o^_5/2_  b^4^G^e^_5/2_   6.727   612 
 1795.600 w^2^I^o^_13/2_ b^4^G^e^_11/2_  6.721   643 
 1799.316 s^4^G^o^_9/2_  b^4^G^e^_9/2_   6.726  1060 
 1799.785 s^4^G^o^_11/2_ b^4^G^e^_11/2_  6.721   862 
 1805.533 q^4^G^o^_7/2_  b^4^G^e^_9/2_   6.726   561 
 1805.719 v^4^D^o^_5/2_  b^4^D^e^_5/2_   3.890   602 
 1805.844 q^4^G^o^_7/2_  b^4^G^e^_7/2_   6.727  4190 
 1809.157 n^4^D^o^_7/2_  b^4^G^e^_5/2_   6.727   805 
 1812.266 v^4^D^o^_3/2_  b^4^D^e^_3/2_   3.887   592 
 1813.037 v^4^D^o^_3/2_  b^4^D^e^_5/2_   3.890   628 
 1817.376 v^4^D^o^_1/2_  b^4^D^e^_3/2_   3.887   752 
 1817.507 v^4^D^o^_1/2_  b^4^D^e^_1/2_   3.888   691 
 1820.913 X^2^I^o^_13/2_ b^4^G^e^_11/2_  6.721  1050 
 1827.230 q^4^D^o^_3/2_  b^4^G^e^_5/2_   6.727   516 
 1830.464 v^4^H^o^_7/2_  b^4^G^e^_5/2_   6.727   873 
 1831.980 v^4^H^o^_9/2_  b^4^G^e^_7/2_   6.727  1190 
 1833.646 v^4^H^o^_11/2_ b^4^G^e^_9/2_   6.726  1390 
 1834.964 v^4^H^o^_13/2_ b^4^G^e^_11/2_  6.721  1610 
 1839.802 t^4^G^o^_5/2_  b^4^G^e^_5/2_   6.727  1480 
 1839.999 t^4^G^o^_7/2_  b^4^G^e^_7/2_   6.727  1320 
 1841.710 t^4^G^o^_9/2_  b^4^G^e^_9/2_   6.726  2820 
 1843.260 t^4^G^o^_11/2_ b^4^G^e^_11/2_  6.721  3250 
 1843.487 p^4^F^o^_7/2_  b^4^G^e^_9/2_   6.726  2780 
 1852.353 p^4^F^o^_9/2_  b^4^G^e^_11/2_  6.721  1140 
 1853.028 u^6^D^o^_7/2_  b^4^G^e^_9/2_   6.726  1910 
 1853.355 u^6^D^o^_7/2_  b^4^G^e^_7/2_   6.727  1220 
 1853.778 p^4^F^o^_9/2_  b^4^G^e^_9/2_   6.726   654 
 1869.553 u^4^G^o^_11/2_ b^4^G^e^_11/2_  6.721  8360 
 1872.638 u^4^G^o^_9/2_  b^4^G^e^_9/2_   6.726 12700 
 1872.973 u^4^G^o^_9/2_  b^4^G^e^_7/2_   6.727   986 
 1877.716 u^4^G^o^_7/2_  b^4^G^e^_9/2_   6.726   518 
 1880.530 u^6^F^o^_7/2_  b^4^G^e^_7/2_   6.727  1410 
 1890.643 q^4^F^o^_7/2_  b^4^G^e^_9/2_   6.726   629 
 1891.051 q^4^P^o^_5/2_  b^4^G^e^_7/2_   6.727   576 
 1901.504 o^4^D^o^_7/2_  b^4^G^e^_9/2_   6.726   691 
 1920.985 v^2^D^o^_5/2_  b^2^F^e^_5/2_   3.943   605 
 1927.918 v^2^D^o^_5/2_  b^2^F^e^_7/2_   3.966   793 
 1966.196 r^2^F^o^_7/2_  d^2^D^e^_5/2_   5.954   863 
 1970.328 w^4^H^o^_7/2_  b^4^G^e^_5/2_   6.727  3140 
 1974.153 w^4^H^o^_9/2_  b^4^G^e^_7/2_   6.727  4150 
 1978.508 w^4^H^o^_11/2_ b^4^G^e^_9/2_   6.726  4240 
 1983.063 w^4^H^o^_13/2_ b^4^G^e^_11/2_  6.721  3760 
 2020.479 p^4^D^o^_5/2_  d^4^P^e^_3/2_   7.125   510 
 2099.487 v^2^D^o^_5/2_  b^2^D^e^_5/2_   4.493   692 
 2146.045 z^4^P^o^_5/2_  a^6^D^e^_7/2_   0.048  1200 
 2187.295 v^2^D^o^_5/2_  c^2^D^e^_5/2_   4.730   562 
 2240.346 z^4^F^o^_3/2_  a^6^D^e^_5/2_   0.083   765 
 2243.883 z^4^P^o^_3/2_  a^4^F^e^_5/2_   0.352   513 
 2244.610 z^4^P^o^_5/2_  a^4^F^e^_7/2_   0.301  1460 
 2245.502 a^6^F^e^_9/2_  z^6^D^o^_9/2_   4.766   639 
 2249.178 z^4^D^o^_7/2_  a^6^D^e^_9/2_   0.000  3560 
 2250.177 z^4^F^o^_3/2_  a^6^D^e^_3/2_   0.107  1110 
 2250.937 z^4^F^o^_5/2_  a^6^D^e^_5/2_   0.083  1700 
 2251.555 z^4^D^o^_5/2_  a^6^D^e^_7/2_   0.048   987 
 2253.125 z^4^F^o^_7/2_  a^6^D^e^_7/2_   0.048  3560 
 2255.689 a^6^F^e^_9/2_  z^6^D^o^_7/2_   4.791   546 
 2255.988 z^4^F^o^_3/2_  a^6^D^e^_1/2_   0.121   948 
 2258.228 h^4^G^e^_9/2_  y^4^G^o^_9/2_   7.925   545 
 2260.083 z^4^F^o^_9/2_  a^6^D^e^_9/2_   0.000  6950 
 2260.237 z^4^D^o^_1/2_  a^6^D^e^_1/2_   0.121   609 
 2260.861 z^4^F^o^_5/2_  a^6^D^e^_3/2_   0.107  1560 
 2262.686 z^4^D^o^_3/2_  a^6^D^e^_3/2_   0.107   807 
 2265.994 z^4^D^o^_5/2_  a^6^D^e^_5/2_   0.083  1200 
 2267.584 z^4^F^o^_7/2_  a^6^D^e^_5/2_   0.083  3170 
 2268.562 z^4^D^o^_3/2_  a^6^D^e^_1/2_   0.121   593 
 2268.822 z^4^D^o^_7/2_  a^6^D^e^_7/2_   0.048  2310 
 2276.051 z^4^D^o^_5/2_  a^6^D^e^_3/2_   0.107   773 
 2279.918 z^4^F^o^_9/2_  a^6^D^e^_7/2_   0.048  6810 
 2287.145 r^2^F^o^_5/2_  d^2^F^e^_5/2_   6.800   978 
 2307.721 t^4^F^o^_5/2_  c^4^F^e^_3/2_   6.206   568 
 2308.768 t^4^F^o^_7/2_  c^4^F^e^_7/2_   6.220   598 
 2311.287 t^4^F^o^_3/2_  c^4^F^e^_3/2_   6.206   817 
 2311.293 t^4^F^o^_5/2_  c^4^F^e^_5/2_   6.214   752 
 2314.870 t^4^F^o^_3/2_  c^4^F^e^_5/2_   6.214   610 
 2326.357 t^4^D^o^_7/2_  c^4^F^e^_9/2_   6.216   747 
 2327.399 z^6^P^o^_3/2_  a^6^D^e^_5/2_   0.083  1880 
 2331.305 z^4^F^o^_7/2_  a^4^F^e^_9/2_   0.232  4670 
 2332.800 z^6^P^o^_5/2_  a^6^D^e^_7/2_   0.048  2610 
 2338.011 z^6^P^o^_3/2_  a^6^D^e^_3/2_   0.107  1910 
 2340.578 t^4^D^o^_5/2_  c^4^F^e^_7/2_   6.220   998 
 2343.498 z^6^P^o^_7/2_  a^6^D^e^_9/2_   0.000  3180 
 2343.961 z^4^F^o^_5/2_  a^4^F^e^_7/2_   0.301  2520 
 2344.285 z^6^P^o^_3/2_  a^6^D^e^_1/2_   0.121  1900 
 2347.399 h^4^G^e^_7/2_  X^4^G^o^_7/2_   8.171  2110 
 2348.114 z^4^D^o^_7/2_  a^4^F^e^_9/2_   0.232  4990 
 2348.265 t^4^D^o^_3/2_  c^4^F^e^_3/2_   6.206   709 
 2348.303 z^6^P^o^_5/2_  a^6^D^e^_5/2_   0.083  2650 
 2349.300 e^4^H^e^_7/2_  X^4^G^o^_5/2_   8.189   559 
 2351.028 h^4^G^e^_9/2_  X^4^G^o^_9/2_   8.142  4020 
 2351.963 t^4^D^o^_3/2_  c^4^F^e^_5/2_   6.214   905 
 2354.370 h^4^G^e^_5/2_  X^4^G^o^_5/2_   8.189  1350 
 2354.890 z^4^F^o^_3/2_  a^4^F^e^_5/2_   0.352  2120 
 2355.351 a^6^G^e^_5/2_  z^6^F^o^_3/2_   5.255   542 
 2356.941 u^2^G^o^_7/2_  c^4^F^e^_7/2_   6.220   550 
 2359.106 z^6^P^o^_5/2_  a^6^D^e^_3/2_   0.107  2720 
 2359.108 a^6^G^e^_7/2_  z^6^F^o^_5/2_   5.247   948 
 2360.001 z^4^F^o^_9/2_  a^4^F^e^_9/2_   0.232  8160 
 2360.292 z^4^D^o^_5/2_  a^4^F^e^_7/2_   0.301  2370 
 2361.738 a^6^G^e^_11/2_ z^6^F^o^_11/2_  5.201   596 
 2362.018 z^4^F^o^_7/2_  a^4^F^e^_7/2_   0.301  4410 
 2363.859 a^6^G^e^_9/2_  z^6^F^o^_7/2_   5.235  2740 
 2364.307 u^4^F^o^_3/2_  c^4^F^e^_3/2_   6.206  1160 
 2364.831 z^6^P^o^_7/2_  a^6^D^e^_7/2_   0.048  3260 
 2366.594 z^4^F^o^_5/2_  a^4^F^e^_5/2_   0.352  2340 
 2368.056 u^4^F^o^_3/2_  c^4^F^e^_5/2_   6.214  1080 
 2368.593 z^4^D^o^_3/2_  a^4^F^e^_5/2_   0.352  1840 
 2369.670 u^4^F^o^_5/2_  c^4^F^e^_5/2_   6.214   815 
 2369.960 a^6^G^e^_11/2_ z^6^F^o^_9/2_   5.219  4730 
 2370.499 z^4^F^o^_3/2_  a^4^F^e^_3/2_   0.386  2010 
 2372.200 u^4^F^o^_5/2_  c^4^F^e^_7/2_   6.220  1110 
 2372.806 u^4^P^o^_5/2_  c^4^F^e^_5/2_   6.214   896 
 2373.158 u^4^F^o^_7/2_  c^4^F^e^_9/2_   6.216   619 
 2373.733 z^6^F^o^_9/2_  a^6^D^e^_9/2_   0.000 10400 
 2374.123 v^4^F^o^_3/2_  c^4^P^e^_1/2_   6.085  2100 
 2374.643 u^4^D^o^_1/2_  c^4^P^e^_1/2_   6.085  1190 
 2374.872 u^4^F^o^_7/2_  c^4^F^e^_7/2_   6.220   772 
 2375.190 z^4^D^o^_1/2_  a^4^F^e^_3/2_   0.386  1340 
 2379.274 z^4^D^o^_7/2_  a^4^F^e^_7/2_   0.301  4740 
 2379.419 u^2^G^o^_9/2_  c^4^F^e^_9/2_   6.216   516 
 2380.432 h^4^G^e^_7/2_  X^4^F^o^_5/2_   8.244   883 
 2380.765 z^6^P^o^_7/2_  a^6^D^e^_5/2_   0.083  3310 
 2382.038 z^6^F^o^_11/2_ a^6^D^e^_9/2_   0.000 33500 
 2382.359 z^4^F^o^_5/2_  a^4^F^e^_3/2_   0.386  2060 
 2382.568 t^4^G^o^_7/2_  y^4^H^o^_7/2_   8.263   753 
 2382.905 z^2^I^o^_13/2_ a^2^H^e^_11/2_  2.521   701 
 2383.063 z^6^F^o^_5/2_  a^6^D^e^_7/2_   0.048  3760 
 2383.216 u^4^D^o^_3/2_  c^4^P^e^_1/2_   6.085  3480 
 2383.243 z^4^D^o^_5/2_  a^4^F^e^_5/2_   0.352  2320 
 2384.383 h^4^G^e^_5/2_  X^4^F^o^_3/2_   8.255   514 
 2384.385 z^4^D^o^_3/2_  a^4^F^e^_3/2_   0.386  1700 
 2385.003 z^4^F^o^_7/2_  a^4^F^e^_5/2_   0.352  3540 
 2386.376 e^4^F^e^_9/2_  z^4^F^o^_9/2_   5.482   960 
 2388.631 z^6^F^o^_7/2_  a^6^D^e^_7/2_   0.048  5260 
 2389.311 h^4^G^e^_9/2_  X^4^F^o^_7/2_   8.226  1700 
 2391.480 z^4^F^o^_9/2_  a^4^F^e^_7/2_   0.301  7020 
 2391.739 u^4^P^o^_3/2_  c^4^P^e^_1/2_   6.085   770 
 2394.247 h^4^G^e^_9/2_  y^4^H^o^_11/2_  8.237   553 
 2395.141 u^4^P^o^_1/2_  c^4^P^e^_1/2_   6.085  2070 
 2395.421 z^6^F^o^_3/2_  a^6^D^e^_5/2_   0.083  2210 
 2395.623 z^6^F^o^_9/2_  a^6^D^e^_7/2_   0.048  9120 
 2397.764 u^4^D^o^_1/2_  c^4^P^e^_3/2_   6.136  3260 
 2398.654 e^4^F^e^_9/2_  z^4^D^o^_7/2_   5.508  1730 
 2399.232 z^4^D^o^_5/2_  a^4^F^e^_3/2_   0.386  1520 
 2399.244 z^6^F^o^_5/2_  a^6^D^e^_5/2_   0.083  3750 
 2401.291 e^4^F^e^_7/2_  z^4^D^o^_5/2_   5.550  1440 
 2402.598 z^4^D^o^_7/2_  a^4^F^e^_5/2_   0.352  3300 
 2404.433 z^6^F^o^_1/2_  a^6^D^e^_3/2_   0.107  1800 
 2404.888 z^6^F^o^_7/2_  a^6^D^e^_5/2_   0.083  5160 
 2405.216 v^4^F^o^_5/2_  c^4^P^e^_3/2_   6.136   780 
 2405.686 e^4^F^e^_5/2_  z^4^D^o^_3/2_   5.582  1020 
 2406.663 z^6^F^o^_3/2_  a^6^D^e^_3/2_   0.107  2230 
 2407.231 y^4^S^o^_3/2_  c^4^P^e^_1/2_   6.085   895 
 2408.656 e^4^F^e^_3/2_  z^4^D^o^_1/2_   5.603   622 
 2410.522 z^6^F^o^_5/2_  a^6^D^e^_3/2_   0.107  3760 
 2411.070 z^6^F^o^_1/2_  a^6^D^e^_1/2_   0.121  1830 
 2413.312 z^6^F^o^_3/2_  a^6^D^e^_1/2_   0.121  2240 
 2415.061 v^4^P^o^_5/2_  c^4^P^e^_3/2_   6.136  3020 
 2415.196 u^4^P^o^_3/2_  c^4^P^e^_3/2_   6.136   971 
 2416.452 e^4^F^e^_9/2_  z^4^F^o^_7/2_   5.546  1090 
 2418.434 e^4^F^e^_7/2_  z^4^F^o^_5/2_   5.587   916 
 2418.665 u^4^P^o^_1/2_  c^4^P^e^_3/2_   6.136  3250 
 2424.143 y^4^G^o^_11/2_ b^4^F^e^_9/2_   2.805   568 
 2430.397 v^4^F^o^_3/2_  c^4^F^e^_3/2_   6.206  2820 
 2430.462 u^4^D^o^_5/2_  c^4^P^e^_3/2_   6.136  2850 
 2430.994 y^4^S^o^_3/2_  c^4^P^e^_3/2_   6.136  1020 
 2438.517 v^4^F^o^_3/2_  c^4^P^e^_5/2_   6.223  5140 
 2438.602 v^4^F^o^_5/2_  c^4^F^e^_3/2_   6.206   601 
 2439.300 y^4^H^o^_13/2_ a^4^G^e^_11/2_  3.151   722 
 2439.444 d^4^D^e^_7/2_  z^6^D^o^_9/2_   4.766   705 
 2439.928 u^4^D^o^_3/2_  c^4^F^e^_3/2_   6.206   969 
 2441.131 c^4^G^e^_9/2_  z^4^F^o^_9/2_   5.482  1020 
 2442.590 v^4^F^o^_5/2_  c^4^F^e^_5/2_   6.214  2430 
 2443.921 u^4^D^o^_3/2_  c^4^F^e^_5/2_   6.214  1850 
 2444.517 y^4^D^o^_7/2_  b^4^P^e^_5/2_   2.582   577 
 2445.279 v^4^F^o^_5/2_  c^4^F^e^_7/2_   6.220   502 
 2446.474 z^2^I^o^_13/2_ a^4^H^e^_11/2_  2.656   788 
 2446.776 v^4^F^o^_5/2_  c^4^P^e^_5/2_   6.223  2750 
 2448.111 u^4^D^o^_3/2_  c^4^P^e^_5/2_   6.223  6080 
 2449.729 z^6^P^o^_5/2_  a^4^F^e^_7/2_   0.301  1260 
 2451.102 z^6^P^o^_7/2_  a^4^F^e^_9/2_   0.232  2080 
 2452.745 v^4^P^o^_5/2_  c^4^F^e^_5/2_   6.214   630 
 2453.981 c^4^G^e^_9/2_  z^4^D^o^_7/2_   5.508   886 
 2455.456 v^4^P^o^_5/2_  c^4^F^e^_7/2_   6.220   774 
 2455.714 c^4^G^e^_7/2_  z^4^F^o^_7/2_   5.546   899 
 2456.966 v^4^P^o^_5/2_  c^4^P^e^_5/2_   6.223  3800 
 2457.105 u^4^P^o^_3/2_  c^4^P^e^_5/2_   6.223  4060 
 2457.582 c^4^G^e^_7/2_  z^4^D^o^_5/2_   5.550   527 
 2458.783 y^4^H^o^_11/2_ a^4^G^e^_9/2_   3.198   526 
 2460.018 v^4^F^o^_7/2_  c^4^F^e^_5/2_   6.214   846 
 2460.437 c^4^G^e^_11/2_ z^4^F^o^_9/2_   5.482  6310 
 2462.319 c^4^G^e^_5/2_  z^4^F^o^_5/2_   5.587   650 
 2462.745 v^4^F^o^_7/2_  c^4^F^e^_7/2_   6.220  3050 
 2472.612 c^4^G^e^_9/2_  z^4^F^o^_7/2_   5.546  4360 
 2472.907 u^4^D^o^_5/2_  c^4^P^e^_5/2_   6.223  2840 
 2473.458 y^4^S^o^_3/2_  c^4^P^e^_5/2_   6.223   896 
 2474.461 z^6^P^o^_5/2_  a^4^F^e^_5/2_   0.352  1020 
 2475.118 c^4^G^e^_5/2_  z^4^F^o^_3/2_   5.613  2500 
 2475.541 c^4^G^e^_7/2_  z^4^F^o^_5/2_   5.587  3090 
 2476.680 z^6^F^o^_7/2_  a^4^F^e^_9/2_   0.232  4180 
 2482.118 z^4^I^o^_13/2_ a^4^H^e^_13/2_  2.634   835 
 2482.659 X^4^G^o^_9/2_  a^4^G^e^_11/2_  3.151   657 
 2482.666 r^2^F^o^_7/2_  d^2^G^e^_9/2_   7.266   534 
 2482.869 e^4^D^e^_3/2_  z^4^D^o^_5/2_   5.550   622 
 2484.197 z^6^F^o^_9/2_  a^4^F^e^_9/2_   0.232 12100 
