key,ion,wave_vac,Ei,Ek,Aki,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,multiplet,line_ratio
Ly28,H I,912.918,0.0,13.58108984,729.67,1s-28,,,E1,NIST,,912.917887,H I,"H I$\,\lambda913$",0,0.0
Ly27,H I,913.006,0.0,13.57978125,875.24,1s-27,,,E1,NIST,,913.005859,H I,"H I$\,\lambda913$",0,0.0
Ly26,H I,913.104,0.0,13.57831878,1057.1,1s-26,,,E1,NIST,,913.104195,H I,"H I$\,\lambda913$",0,0.0
Ly25,H I,913.215,0.0,13.57667733,1286.2,1s-25,,,E1,NIST,,913.214592,H I,"H I$\,\lambda913$",0,0.0
Ly24,H I,913.339,0.0,13.57482645,1577.6,1s-24,,,E1,NIST,,913.339105,H I,"H I$\,\lambda913$",0,0.0
Ly23,H I,913.48,0.0,13.57272894,1951.9,1s-23,,,E1,NIST,,913.480251,H I,"H I$\,\lambda913$",0,0.0
Ly22,H I,913.641,0.0,13.57033894,2438.0,1s-22,,,E1,NIST,,913.641133,H I,"H I$\,\lambda914$",0,0.0
Ly21,H I,913.826,0.0,13.56759946,3076.9,1s-21,,,E1,NIST,,913.825609,H I,"H I$\,\lambda914$",0,0.0
Ly20,H I,914.039,0.0,13.56443886,3927.6,1s-20,,,E1,NIST,,914.038537,H I,"H I$\,\lambda914$",0,0.0
Ly19,H I,914.286,0.0,13.56076619,5076.7,1s-19,,,E1,NIST,,914.286086,H I,"H I$\,\lambda914$",0,0.0
Ly18,H I,914.576,0.0,13.55646454,6654.0,1s-18,,,E1,NIST,,914.576201,H I,"H I$\,\lambda915$",0,0.0
Ly17,H I,914.919,0.0,13.55138166,8857.4,1s-17,,,E1,NIST,,914.919242,H I,"H I$\,\lambda915$",0,0.0
Ly16,H I,915.329,0.0,13.54531624,11997.0,1s-16,,,E1,NIST,,915.328932,H I,"H I$\,\lambda915$",0,0.0
Ly15,H I,915.824,0.0,13.53799772,16572.0,1s-15,,,E1,NIST,,915.823751,H I,"H I$\,\lambda916$",0,0.0
Ly14,H I,916.429,0.0,13.52905552,23409.0,1s-14,,,E1,NIST,,916.429076,H I,"H I$\,\lambda916$",0,0.0
Ly13,H I,917.181,0.0,13.51797128,33927.0,1s-13,,,E1,NIST,,917.180514,H I,"H I$\,\lambda917$",0,0.0
Ly12,H I,918.129,0.0,13.50400193,50659.0,1s-12,,,E1,NIST,,918.1293,H I,"H I$\,\lambda918$",0,0.0
Ly11,H I,919.351,0.0,13.48605194,78340.0,1s-11,,,E1,NIST,,919.351334,H I,"H I$\,\lambda919$",0,0.0
Ly10,H I,920.963,0.0,13.46245155,126310.0,1s-10,,,E1,NIST,,920.963006,H I,"H I$\,\lambda921$",0,0.0
Ly9,H I,923.15,0.0,13.43055424,214250.0,1s-9,,,E1,NIST,,923.150275,H I,"H I$\,\lambda923$",0,0.0
Ly8,H I,926.226,0.0,13.38596103,386940.0,1s-8,,,E1,NIST,,926.225605,H I,"H I$\,\lambda926$",0,0.0
Ly7,H I,930.748,0.0,13.32091817,756840.0,1s-7,,,E1,NIST,,930.748142,H I,"H I$\,\lambda931$",0,0.0
LyE,H I,937.803,0.0,13.22070389,1644000.0,1s-6,,,E1,NIST,,937.80331,H I,"H I$\,\lambda938$",0,0.0
LyD,H I,949.743,0.0,13.0545017,4125000.0,1s-5,,,E1,NIST,,949.74287,H I,"H I$\,\lambda950$",0,0.0
LyG,H I,972.536,0.0,12.7485393,12785000.0,1s-4,,,E1,NIST,,972.5365,H I,"H I$\,\lambda973$",0,0.0
CIII-977,C III,977.03,0.0,12.69,0.0,1s22s2-1s22s2p,1S-1P0,0-1,,Z97,,0.0,C III,"C III$\,\lambda977$",0,0.0
NIII-990,N III,989.79,0.0,12.526,0.0,2s22p-2s2p2,2P0-2D,1/2-3/2,,Z97,,0.0,N III,"N III$\,\lambda990$",17,0.3459731188864765
NIII-992,N III,991.514,0.022,12.526,0.0,2s22p-2s2p2,2P0-2D,3/2-3/2,,Z97,,0.0,N III,"N III$\,\lambda992$",17,0.06747811271589471
NIII-992,N III,991.579,0.022,12.525,0.0,2s22p-2s2p2,2P0-2D,3/2-5/2,,Z97,,0.0,N III,"N III$\,\lambda992$",17,1.0
LyB,H I,1025.722,0.0,12.0875052,55751000.0,1s-3,,,E1,NIST,,1025.722,H I,"H I$\,\lambda1026$",0,0.0
