--------------------------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air   log_gf   A-Value   Elem. Element E_lower_lev.   J   Config.    E_upper_lev.   J   Config.    Ref.
     / nm        / nm              / 1/s   (Code) (Name)      / eV     lower lower          / eV     upper upper          
   226.2915    226.2215  -2.987 1.491e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.526926   4.0 (4F)5p 5D  K    
   226.3319    226.2619  -2.070 3.694e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.477981   1.0 (4F)5p 5F  K    
   226.4719    226.4018  -0.940 2.133e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.474596   3.0 s4F)5p t3G SK   
   226.6849    226.6148  -1.500 5.864e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.490544   3.0 (4F)5p 5F  K    
   226.8068    226.7367  -2.128 8.779e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.514477   5.0 (4F)5p 5F  K    
   226.8244    226.7543  -0.984 1.495e+07  22.00 Ti I        0.021094   3.0 s2 a3F         5.487181   4.0 s4F)5p t3G K    
   226.8269    226.7568  -1.771 3.138e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.513992   3.0 (4F)5p 5D  K    
   226.8615    226.7914  -1.463 8.926e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.465194   2.0 s4F)5p o3D K    
   226.9453    226.8751  -2.083 1.528e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.484270   3.0 s4F)5p o3D K    
   227.0030    226.9328  -1.932 3.028e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.482882   2.0 (4F)5p 5F  K    
   227.3315    227.2613  -0.886 1.526e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.501861   5.0 s4F)5p t3G K    
   227.3478    227.2776  -2.182 1.212e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.474596   3.0 s4F)5p t3G K    
   227.3630    227.2928  -2.650 3.210e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.501105   4.0 (4F)5p 5F  K    
   227.3983    227.3280  -0.870 5.800e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.452294   1.0 s4F)5p o3D SK   
   227.7405    227.6702  -0.310 1.260e+08  22.00 Ti I        0.021094   3.0 s2 a3F         5.465194   2.0 s4F)5p o3D MFW  
   227.8041    227.7338  -0.604 4.570e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.490544   3.0 (4F)5p 5F  K    
   227.9451    227.8747  -2.191 9.188e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.487181   4.0 s4F)5p t3G K    
