key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeII-1812,Fe II,1812.8893349075952,3.887,0.0,0.0,0.0,,,b4D-v4D*,3/2-3/2,E1,1812.266,permitted,0.0,16,592,b4D,Sigut+03,
FeII-1813,Fe II,1813.6603821135175,3.89,0.0,0.0,0.0,,,b4D-v4D*,5/2-3/2,E1,1813.037,permitted,0.0,16,628,b4D,Sigut+03,
FeII-1817,Fe II,1817.9996621636253,3.887,0.0,0.0,0.0,,,b4D-v4D*,3/2-1/2,E1,1817.376,permitted,0.0,16,752,b4D,Sigut+03,
FeII-1817,Fe II,1818.1306709903783,3.888,0.0,0.0,0.0,,,b4D-v4D*,1/2-1/2,E1,1817.507,permitted,0.0,16,691,b4D,Sigut+03,
FeII-1820,Fe II,1821.536907886694,6.721,0.0,0.0,0.0,,,b4G-X2I*,11/2-13/2,E1,1820.913,permitted,0.0,18,1050,b4G,Sigut+03,
FeII-1827,Fe II,1827.8543835104347,6.727,0.0,0.0,0.0,,,b4G-q4D*,5/2-3/2,E1,1827.23,permitted,0.0,18,516,b4G,Sigut+03,
FeII-1830,Fe II,1831.0886443227128,6.727,0.0,0.0,0.0,,,b4G-v4H*,5/2-7/2,E1,1830.464,permitted,0.0,18,873,b4G,Sigut+03,
FeII-1831,Fe II,1832.6047704486107,6.727,0.0,0.0,0.0,,,b4G-v4H*,7/2-9/2,E1,1831.98,permitted,0.0,18,1190,b4G,Sigut+03,
FeII-1833,Fe II,1834.2709118299847,6.726,0.0,0.0,0.0,,,b4G-v4H*,9/2-11/2,E1,1833.646,permitted,0.0,18,1390,b4G,Sigut+03,
FeII-1834,Fe II,1835.589025703652,6.721,0.0,0.0,0.0,,,b4G-v4H*,11/2-13/2,E1,1834.964,permitted,0.0,18,1610,b4G,Sigut+03,
FeII-1839,Fe II,1840.427458589938,6.727,0.0,0.0,0.0,,,b4G-t4G*,5/2-5/2,E1,1839.802,permitted,0.0,18,1480,b4G,Sigut+03,
FeII-1839,Fe II,1840.624476701048,6.727,0.0,0.0,0.0,,,b4G-t4G*,7/2-7/2,E1,1839.999,permitted,0.0,18,1320,b4G,Sigut+03,
FeII-1841,Fe II,1842.3356355558412,6.726,0.0,0.0,0.0,,,b4G-t4G*,9/2-9/2,E1,1841.71,permitted,0.0,18,2820,b4G,Sigut+03,
FeII-1843,Fe II,1843.88578184005,6.721,0.0,0.0,0.0,,,b4G-t4G*,11/2-11/2,E1,1843.26,permitted,0.0,18,3250,b4G,Sigut+03,
FeII-1843,Fe II,1844.1128034509375,6.726,0.0,0.0,0.0,,,b4G-p4F*,9/2-7/2,E1,1843.487,permitted,0.0,18,2780,b4G,Sigut+03,
FeII-1852,Fe II,1852.979683568948,6.721,0.0,0.0,0.0,,,b4G-p4F*,11/2-9/2,E1,1852.353,permitted,0.0,18,1140,b4G,Sigut+03,
FeII-1853,Fe II,1853.6547533587368,6.726,0.0,0.0,0.0,,,b4G-u6D*,9/2-7/2,E1,1853.028,permitted,0.0,18,1910,b4G,Sigut+03,
FeII-1853,Fe II,1853.9817873048237,6.727,0.0,0.0,0.0,,,b4G-u6D*,7/2-7/2,E1,1853.355,permitted,0.0,18,1220,b4G,Sigut+03,
FeII-1853,Fe II,1854.4048313485569,6.726,0.0,0.0,0.0,,,b4G-p4F*,9/2-9/2,E1,1853.778,permitted,0.0,18,654,b4G,Sigut+03,
FeII-1869,Fe II,1870.181574410617,6.721,0.0,0.0,0.0,,,b4G-u4G*,11/2-11/2,E1,1869.553,permitted,0.0,18,8360,b4G,Sigut+03,
FeII-1872,Fe II,1873.2669367851095,6.726,0.0,0.0,0.0,,,b4G-u4G*,9/2-9/2,E1,1872.638,permitted,0.0,18,12700,b4G,Sigut+03,
FeII-1872,Fe II,1873.6019765331941,6.727,0.0,0.0,0.0,,,b4G-u4G*,7/2-9/2,E1,1872.973,permitted,0.0,18,986,b4G,Sigut+03,
FeII-1877,Fe II,1878.3455474500147,6.726,0.0,0.0,0.0,,,b4G-u4G*,9/2-7/2,E1,1877.716,permitted,0.0,18,518,b4G,Sigut+03,
